x,y,z,s,layer_index,turn_index,B_at_600A_T,angle_at_600A_deg,quench_current_A,status
0.004267931142007112,0.06629285852667809,0.011666666666666665,0.03426793114200711,0,381,9.945004139640663,122.03310054040709,463.3712077145016,ok
0.0061429311420071065,0.06629285852667809,0.010666666666666665,0.036142931142007104,0,381,8.992968565656382,125.05010196269436,472.2039878688174,ok
0.002933184160873321,0.06772907008565067,0.009333333333333334,0.03293318416087332,0,381,10.392648925398648,103.9755976673185,578.3542063807511,ok
0.0010581841608733272,0.06538532008565066,0.013000000000000005,0.031058184160873328,0,381,8.606954094112508,146.8943339900772,456.73635322026377,ok
0.002933184160873321,0.06772907008565067,0.012333333333333335,0.03293318416087332,0,381,9.875404229157978,125.0356615627049,456.7085569556952,ok
0.004750667785500434,0.062209138869280756,0.012333333333333335,0.034750667785500435,0,381,11.346681141917108,170.07822294369163,411.3298442248722,ok
0.008945981886802746,0.060852683014068674,0.006999999999999999,0.03894598188680275,1,381,3.251749301380748,159.19670735623214,,never_quenched
0.010374976757587508,0.05777942480411768,0.007666666666666666,0.04037497675758751,1,381,4.6575173429511025,153.68979813519127,577.2357564362611,ok
0.005690736966770304,0.05128869335137879,0.009333333333333334,0.0356907369667703,0,381,10.088292312332118,105.51031415927244,554.465489533503,ok
0.007836596643251844,0.058706281207227616,0.006333333333333334,0.03783659664325184,1,381,1.4231299509136053,102.49733748490821,,never_quenched
0.004033541410337495,0.054778877141177046,0.012,0.034033541410337494,0,381,11.768870998673254,150.10814003952862,402.72653903517096,ok
0.0056416130609492346,0.05990050336770672,0.013333333333333334,0.035641613060949234,0,381,11.69437988544136,175.13165646095067,406.08545067172963,ok
0.004750667785500434,0.062209138869280756,0.013000000000000001,0.034750667785500435,0,381,7.615873844726876,165.6028790926407,479.95602513001705,ok
0.002392931142007119,0.06394910852667808,0.013666666666666667,0.032392931142007114,0,381,11.2012463711429,159.01537777654855,409.63677635164646,ok
0.0020844119740153675,0.053420942557100407,0.012333333333333335,0.03208441197401537,0,381,11.467899613679027,150.0120013855243,406.81079800807225,ok
0.004033541410337497,0.04971925797302377,0.013000000000000001,0.034033541410337494,0,381,14.681573793210159,136.83734407777968,413.4260771825546,ok
0.0013347469811337916,0.06497003844102742,0.004333333333333333,0.03133474698113379,1,381,6.324470779316565,81.50581836292447,,never_quenched
0.003209746981133785,0.06731378844102742,0.004999999999999999,0.033209746981133784,1,381,11.119991132032602,85.87344046492026,,never_quenched
0.0013630486210407305,0.06551195137895928,0.0013333333333333333,0.03136304862104073,2,477,7.961934486320636,59.967631882158614,512.435807809261,ok
0.0013630486210407305,0.06551195137895928,0.002333333333333333,0.03136304862104073,2,477,7.625663666593932,65.11907418435534,540.0760727703564,ok
0.0028588326109828966,0.06073548117736977,0.001333333333333333,0.032858832610982894,2,477,4.6636401978439554,22.132246819287207,586.4571274273491,ok
0.0013347469811337913,0.06262628844102741,0.003666666666666667,0.03133474698113379,2,477,6.388080533820029,72.16913223330258,,never_quenched
0.002697795602174522,0.0640757398199867,0.0026666666666666666,0.03269779560217452,2,477,7.358443396143652,68.09686323801213,560.069590886686,ok
0.0014957839899421663,0.0578797797984105,0.002333333333333333,0.03149578398994216,2,477,7.827567825229449,20.87831946415025,480.5366906205699,ok
0.0047796604073980856,0.05873900282351453,0.0029999999999999996,0.034779660407398084,2,477,1.554252354567282,19.40221792802414,,never_quenched
0.004193579592116688,0.061174269618397184,0.002333333333333333,0.03419357959211669,2,477,3.8281986021835315,27.481624137498414,,never_quenched
0.0014957839899421663,0.056473529798410506,0.001,0.03149578398994216,2,477,6.165872203791391,28.085972829200333,530.2782883281142,ok
0.0029915679798843326,0.05732205959682099,0.0016666666666666666,0.03299156797988433,2,477,5.429833760796821,30.93688246343445,555.983754786892,ok
