Temperature (K),Applied field (T),Applied field angle (°),𝘯-value
19.99,0.05,195,27.39
19.98,0.05,200,27.31
19.99,0.05,205,27.4
19.99,0.05,210,27.55
19.99,0.05,215,27.77
19.99,0.05,220,27.58
19.99,0.05,225,27.88
19.99,0.05,230,27.78
19.99,0.05,235,27.82
19.99,0.05,240,27.57
19.99,0.07,0,27.37
19.99,0.07,5,27.38
19.99,0.07,10,27.53
19.99,0.07,15,27.7
19.99,0.07,20,27.4
19.99,0.07,25,27.41
19.99,0.07,30,27.56
19.99,0.07,35,27.52
19.99,0.07,40,27.67
19.98,0.07,45,27.66
19.98,0.07,50,27.67
19.98,0.07,55,27.9
19.98,0.07,60,27.72
19.98,0.07,65,27.78
19.99,0.07,70,27.87
19.99,0.07,75,27.79
19.99,0.07,78,27.8
19.98,0.07,81,27.82
19.98,0.07,84,27.86
19.99,0.07,86,27.8
19.98,0.07,88,27.66
19.98,0.07,90,27.87
19.98,0.07,92,27.61
19.99,0.07,94,27.84
19.98,0.07,96,27.6
19.98,0.07,99,27.71
19.98,0.07,102,27.82
19.99,0.07,105,27.88
19.99,0.07,110,27.7
19.99,0.07,115,27.54
19.98,0.07,120,27.49
19.98,0.07,125,27.66
19.98,0.07,130,27.54
19.98,0.07,135,27.47
19.99,0.07,140,27.51
19.99,0.07,145,27.63
19.99,0.07,150,27.55
19.98,0.07,155,27.54
19.99,0.07,160,27.25
19.99,0.07,165,27.34
19.98,0.07,170,27.28
19.98,0.07,175,27.36
19.98,0.07,180,27.26
19.99,0.07,185,27.39
19.99,0.07,190,27.26
19.99,0.07,195,27.3
19.99,0.07,200,27.42
19.98,0.07,205,27.42
19.98,0.07,210,27.56
19.99,0.07,215,27.24
19.99,0.07,220,27.42
19.99,0.07,225,27.71
19.99,0.07,230,27.62
19.99,0.07,235,27.36
19.99,0.07,240,27.66
19.99,0.1,0,26.97
19.99,0.1,5,27.3
19.99,0.1,10,27.74
19.99,0.1,15,27.11
19.99,0.1,20,27.48
19.99,0.1,25,27.23
19.99,0.1,30,27.29
19.99,0.1,35,27.41
19.98,0.1,40,27.38
19.98,0.1,45,27.5
19.98,0.1,50,27.71
19.99,0.1,55,27.71
19.98,0.1,60,27.5
19.99,0.1,65,27.82
19.98,0.1,70,27.59
19.98,0.1,75,27.47
19.98,0.1,78,27.79
19.98,0.1,81,27.69
19.98,0.1,84,27.76
19.98,0.1,86,27.78
19.99,0.1,88,27.88
19.98,0.1,90,27.84
19.98,0.1,92,27.61
19.99,0.1,94,27.66
19.98,0.1,96,27.5
19.99,0.1,99,27.7
19.99,0.1,102,27.94
19.99,0.1,105,27.49
19.99,0.1,110,27.49
19.98,0.1,115,27.21
19.98,0.1,120,27.3
19.99,0.1,125,27.31
19.99,0.1,130,27.3
19.99,0.1,135,27.28
19.98,0.1,140,27.26
19.98,0.1,145,26.93
19.98,0.1,150,26.92
19.99,0.1,155,26.81
19.99,0.1,160,26.83
19.99,0.1,165,26.99
19.99,0.1,170,26.98
19.98,0.1,175,26.95
19.99,0.1,180,27.05
19.99,0.1,185,26.92
19.99,0.1,190,27.04
19.99,0.1,195,27.14
19.99,0.1,200,27.13
19.99,0.1,205,26.97
19.99,0.1,210,27.16
19.99,0.1,215,27.25
19.99,0.1,220,27.15
19.99,0.1,225,27.52
19.99,0.1,230,27.32
19.98,0.1,235,27.28
19.99,0.1,240,27.56
19.99,0.15,0,26.58
19.99,0.15,5,26.47
19.99,0.15,10,26.59
19.99,0.15,15,26.74
19.99,0.15,20,26.65
19.99,0.15,25,26.55
19.99,0.15,30,26.71
