Temperature (K),Applied field (T),Applied field angle (°),Critical current per cm width (A/cm)
19.98,0.07,130,4914.99
19.98,0.07,135,4910.89
19.99,0.07,140,4906.48
19.99,0.07,145,4904.88
19.99,0.07,150,4900.46
19.98,0.07,155,4898.5
19.99,0.07,160,4891.38
19.99,0.07,165,4890.76
19.98,0.07,170,4888.13
19.98,0.07,175,4891.4
19.98,0.07,180,4889.33
19.99,0.07,185,4891.5
19.99,0.07,190,4891.43
19.99,0.07,195,4893.11
19.99,0.07,200,4896.38
19.98,0.07,205,4899.67
19.98,0.07,210,4905.52
19.99,0.07,215,4904.04
19.99,0.07,220,4908.98
19.99,0.07,225,4916.55
19.99,0.07,230,4919.61
19.99,0.07,235,4918.67
19.99,0.07,240,4927.01
19.99,0.1,0,4863.57
19.99,0.1,5,4869.39
19.99,0.1,10,4877.19
19.99,0.1,15,4869.77
19.99,0.1,20,4878.13
19.99,0.1,25,4877.64
19.99,0.1,30,4883.79
19.99,0.1,35,4890.67
19.98,0.1,40,4894.7
19.98,0.1,45,4903.12
19.98,0.1,50,4911.32
19.99,0.1,55,4917.26
19.98,0.1,60,4920.28
19.99,0.1,65,4928.36
19.98,0.1,70,4927.82
19.98,0.1,75,4929.6
19.98,0.1,78,4935.96
19.98,0.1,81,4935.21
19.98,0.1,84,4936.91
19.98,0.1,86,4937.18
19.99,0.1,88,4938.15
19.98,0.1,90,4937.18
19.98,0.1,92,4934.51
19.99,0.1,94,4932.79
19.98,0.1,96,4929.75
19.99,0.1,99,4931.56
19.99,0.1,102,4932.22
19.99,0.1,105,4922.42
19.99,0.1,110,4917.94
19.98,0.1,115,4909.03
19.98,0.1,120,4903.1
19.99,0.1,125,4895.71
19.99,0.1,130,4889.22
19.99,0.1,135,4881.55
19.98,0.1,140,4873.36
19.98,0.1,145,4860.96
19.98,0.1,150,4855.9
19.99,0.1,155,4851.24
19.99,0.1,160,4846.52
19.99,0.1,165,4845.84
19.99,0.1,170,4844.84
19.98,0.1,175,4842.03
19.99,0.1,180,4844.27
19.99,0.1,185,4844.28
19.99,0.1,190,4848.34
19.99,0.1,195,4852.53
19.99,0.1,200,4856.91
19.99,0.1,205,4858.52
19.99,0.1,210,4866.85
19.99,0.1,215,4875.52
19.99,0.1,220,4880.93
19.99,0.1,225,4892.44
19.99,0.1,230,4897.11
19.98,0.1,235,4903.56
19.99,0.1,240,4912.78
19.99,0.15,0,4775.72
19.99,0.15,5,4776.06
19.99,0.15,10,4781.32
19.99,0.15,15,4787.95
19.99,0.15,20,4792.83
19.99,0.15,25,4799.22
19.99,0.15,30,4812.01
19.99,0.15,35,4822.6
19.99,0.15,40,4840.2
19.98,0.15,45,4851.93
19.98,0.15,50,4864.69
19.98,0.15,55,4879.75
19.98,0.15,60,4893.63
19.98,0.15,65,4904.15
19.99,0.15,70,4911.94
19.99,0.15,75,4921.32
19.98,0.15,78,4924.45
19.98,0.15,81,4924.41
19.98,0.15,84,4926.76
19.99,0.15,86,4925.14
19.99,0.15,88,4930.26
19.99,0.15,90,4925.68
19.98,0.15,92,4928.77
19.98,0.15,94,4921.11
19.99,0.15,96,4921.36
19.98,0.15,99,4921.03
19.98,0.15,102,4913.24
19.98,0.15,105,4908.07
19.98,0.15,110,4896.42
19.99,0.15,115,4878.55
19.99,0.15,120,4865.06
19.99,0.15,125,4846.08
19.98,0.15,130,4830.74
19.99,0.15,135,4810.96
19.98,0.15,140,4797.33
19.99,0.15,145,4781.48
19.99,0.15,150,4765.7
19.99,0.15,155,4762.31
19.99,0.15,160,4746.21
19.99,0.15,165,4743.82
19.99,0.15,170,4742.46
19.99,0.15,175,4737.29
19.99,0.15,180,4738.07
19.99,0.15,185,4737.85
19.99,0.15,190,4748.72
19.99,0.15,195,4751.77
19.99,0.15,200,4760.98
19.99,0.15,205,4777.64
19.99,0.15,210,4788.86
19.99,0.15,215,4805.87
19.99,0.15,220,4817.65
19.99,0.15,225,4834.63
19.99,0.15,230,4850.87
19.99,0.15,235,4864.51
19.99,0.15,240,4882.92
19.99,0.2,0,4655.19
19.99,0.2,5,4656.39
19.99,0.2,10,4655.87
20,0.2,15,4667.7
19.99,0.2,20,4680.11
19.99,0.2,25,4695.98
20,0.2,30,4716.46
19.99,0.2,35,4735.82
19.99,0.2,40,4755.77
19.98,0.2,45,4786.24
19.99,0.2,50,4809.99
19.99,0.2,55,4833.33
19.99,0.2,60,4854.59
19.98,0.2,65,4875.3
19.98,0.2,70,4890.55
19.99,0.2,75,4905.2
19.98,0.2,78,4911.18
19.99,0.2,81,4916.23
19.98,0.2,84,4920.39
19.99,0.2,86,4917
19.98,0.2,88,4919.86
19.99,0.2,90,4916.78
19.99,0.2,92,4918.09
19.99,0.2,94,4911.29
19.98,0.2,96,4910.83
19.98,0.2,99,4898.24
19.98,0.2,102,4890.17
19.98,0.2,105,4880.03
19.98,0.2,110,4860.07
19.99,0.2,115,4836.66
19.99,0.2,120,4807.04
19.99,0.2,125,4784.1
19.99,0.2,130,4751.83
19.98,0.2,135,4724.7
19.99,0.2,140,4700.01
19.99,0.2,145,4674.07
19.99,0.2,150,4654.22
19.99,0.2,155,4634.78
19.99,0.2,160,4623.41
19.99,0.2,165,4612.51
19.99,0.2,170,4604.89
19.99,0.2,175,4600.71
19.99,0.2,180,4599.95
19.99,0.2,185,4602.38
19.99,0.2,190,4614.09
19.98,0.2,195,4627.95
19.99,0.2,200,4643.77
19.99,0.2,205,4662.7
19.99,0.2,210,4683.18
19.99,0.2,215,4709.9
19.99,0.2,220,4737.42
19.99,0.2,225,4762.27
19.99,0.2,230,4788.48
19.99,0.2,235,4814.64
19.99,0.2,240,4839.38
19.99,0.3,0,4342.74
19.99,0.3,5,4349.1
19.99,0.3,10,4358.85
19.99,0.3,15,4376.79
19.99,0.3,20,4389.43
19.99,0.3,25,4422.89
19.99,0.3,30,4457.64
19.99,0.3,35,4496.33
20,0.3,40,4542.38
19.99,0.3,45,4595.33
19.98,0.3,50,4645.1
19.98,0.3,55,4689.77
19.98,0.3,60,4742.85
19.99,0.3,65,4786.26
19.99,0.3,70,4833.47
19.98,0.3,75,4857.28
19.98,0.3,78,4872.97
19.98,0.3,81,4882.72
19.99,0.3,84,4890.98
19.98,0.3,86,4887.84
19.98,0.3,88,4892.87
19.99,0.3,90,4892.34
19.98,0.3,92,4884.78
19.99,0.3,94,4880.47
19.98,0.3,96,4867.46
19.98,0.3,99,4854.83
19.98,0.3,102,4839.89
19.99,0.3,105,4814.48
19.99,0.3,110,4767.92
19.99,0.3,115,4719.44
19.99,0.3,120,4666.69
19.98,0.3,125,4605.54
19.99,0.3,130,4552.5
19.98,0.3,135,4498.03
19.99,0.3,140,4447.03
19.98,0.3,145,4401.97
19.99,0.3,150,4364.65
19.99,0.3,155,4335.62
19.99,0.3,160,4310.37
19.99,0.3,165,4286.94
19.99,0.3,170,4279.33
19.98,0.3,175,4280.5
20,0.3,180,4278.19
19.99,0.3,185,4289.95
19.99,0.3,190,4306.5
19.99,0.3,195,4320.8
19.99,0.3,200,4353.14
19.99,0.3,205,4380.81
19.99,0.3,210,4418.18
19.99,0.3,215,4459.41
19.99,0.3,220,4507.67
19.99,0.3,225,4559.6
19.99,0.3,230,4607.23
19.98,0.3,235,4666.11
19.99,0.3,240,4713.22
19.99,0.5,0,3759.6
19.99,0.5,5,3759.17
19.99,0.5,10,3771.96
19.99,0.5,15,3793.79
19.99,0.5,20,3823.57
19.99,0.5,25,3854.77
20,0.5,30,3895.36
19.99,0.5,35,3954.34
19.99,0.5,40,4023.39
19.99,0.5,45,4102.07
19.98,0.5,50,4199.86
19.99,0.5,55,4303.49
19.99,0.5,60,4411.89
19.98,0.5,65,4527.88
19.98,0.5,70,4629.79
19.98,0.5,75,4718.13
19.98,0.5,78,4765.95
19.99,0.5,81,4794.87
19.98,0.5,84,4817.38
19.99,0.5,86,4820.27
19.99,0.5,88,4829.76
19.98,0.5,90,4821.12
19.98,0.5,92,4812.99
19.99,0.5,94,4804.35
19.98,0.5,96,4780.27
19.98,0.5,99,4742.84
19.99,0.5,102,4692.99
19.98,0.5,105,4630.53
19.99,0.5,110,4519.61
19.98,0.5,115,4398.09
19.99,0.5,120,4274.67
19.99,0.5,125,4161.5
20,0.5,130,4059.17
19.99,0.5,135,3979.25
19.99,0.5,140,3903.28
19.99,0.5,145,3846.39
19.99,0.5,150,3797.84
19.99,0.5,155,3762.15
20,0.5,160,3735.8
19.99,0.5,165,3722.64
19.99,0.5,170,3712.68
19.99,0.5,175,3708.24
19.99,0.5,180,3708.81
19.99,0.5,185,3723.84
19.99,0.5,190,3737.58
19.99,0.5,195,3760.13
19.99,0.5,200,3787.82
19.99,0.5,205,3828.16
19.99,0.5,210,3873.72
19.99,0.5,215,3926.82
19.99,0.5,220,3986.09
19.99,0.5,225,4056.17
19.99,0.5,230,4154.3
19.99,0.5,235,4251.73
19.99,0.5,240,4356.48
19.99,0.7,0,3357.65
19.99,0.7,5,3364.02
