Starting CMA-ES: 9 variables, budget 400 evaluations, target B >= 10.0 T, uniformity <= 1.0%, hoop <= 400 MPa, coil-coil face gap >= 3 mm

Parallel mode: 6 worker processes per generation.
  [ 305] viol   f=   2.818  a=50.4 b=79.4 gap=21.7 (face=19.4mm) n=[195, 588, 199, 671, 844, 364]  tape=1.402km B=9.16T unif=0.744% hoop=276MPa
  [ 306] viol   f=   7.653  a=47.5 b=75.8 gap=19.3 (face=14.6mm) n=[550, 650, 280, 793, 651, 351]  tape=1.493km B=11.90T unif=1.175% hoop=328MPa
  [ 307] viol   f=   1.294  a=38.0 b=71.1 gap=17.0 (face=10.0mm) n=[536, 475, 51, 782, 705, 402]  tape=1.218km B=11.64T unif=1.019% hoop=262MPa
  [ 308] OK     f=   1.597  a=44.9 b=87.4 gap=17.9 (face=11.7mm) n=[549, 372, 222, 574, 830, 598]  tape=1.597km B=10.54T unif=0.755% hoop=320MPa
  [ 309] OK     f=   1.239  a=45.2 b=66.8 gap=19.7 (face=15.3mm) n=[370, 645, 92, 900, 635, 223]  tape=1.239km B=10.32T unif=0.936% hoop=252MPa
  [ 310] OK     f=   1.297  a=41.6 b=68.5 gap=20.5 (face=17.0mm) n=[458, 618, 240, 892, 664, 144]  tape=1.297km B=10.80T unif=0.883% hoop=271MPa
  [ 311] viol   f=   1.233  a=41.9 b=77.2 gap=17.2 (face=10.4mm) n=[352, 486, 280, 692, 722, 181]  tape=1.213km B=10.31T unif=1.010% hoop=275MPa
  [ 312] OK     f=   1.024  a=38.7 b=58.0 gap=21.3 (face=18.6mm) n=[425, 548, 78, 829, 586, 238]  tape=1.024km B=10.10T unif=0.541% hoop=230MPa
  [ 313] viol   f=   6.892  a=45.1 b=66.3 gap=19.2 (face=14.5mm) n=[502, 765, 102, 869, 439, 189]  tape=1.211km B=11.03T unif=1.169% hoop=269MPa
  [ 314] OK     f=   1.400  a=45.9 b=75.0 gap=21.1 (face=18.2mm) n=[538, 575, 102, 777, 762, 429]  tape=1.400km B=11.29T unif=0.882% hoop=292MPa
  [ 315] INFEAS f=4536.975  a=30.1 b=66.8 gap=15.4 (face=6.9mm) n=[330, 481, 58, 872, 501, 143]  no evaluation (geometry pre-check)
  [ 316] viol   f=   5.783  a=46.7 b=66.5 gap=17.9 (face=11.8mm) n=[419, 564, 58, 797, 577, 271]  tape=1.142km B=10.08T unif=1.152% hoop=285MPa
  [ 317] OK     f=   1.422  a=46.0 b=70.0 gap=21.5 (face=19.0mm) n=[547, 580, 153, 829, 731, 460]  tape=1.422km B=11.55T unif=0.778% hoop=305MPa
  [ 318] OK     f=   1.563  a=45.4 b=85.5 gap=21.1 (face=18.2mm) n=[461, 603, 117, 806, 862, 318]  tape=1.563km B=10.56T unif=0.738% hoop=290MPa
  [ 319] OK     f=   1.314  a=41.8 b=70.3 gap=24.0 (face=24.1mm) n=[500, 857, 117, 900, 657, 103]  tape=1.314km B=11.25T unif=0.911% hoop=231MPa
  [ 320] viol   f=   5.250  a=45.2 b=75.3 gap=18.7 (face=13.3mm) n=[469, 726, 220, 855, 675, 213]  tape=1.435km B=11.71T unif=1.138% hoop=293MPa
  [ 321] OK     f=   1.175  a=43.7 b=61.3 gap=20.6 (face=17.2mm) n=[387, 638, 264, 839, 645, 163]  tape=1.175km B=10.97T unif=0.752% hoop=258MPa
  [ 322] OK     f=   1.311  a=42.5 b=74.5 gap=25.8 (face=27.6mm) n=[300, 860, 234, 819, 612, 136]  tape=1.311km B=10.09T unif=0.642% hoop=216MPa
  [ 323] OK     f=   1.237  a=40.3 b=62.5 gap=21.8 (face=19.6mm) n=[557, 324, 101, 900, 613, 551]  tape=1.237km B=10.63T unif=0.494% hoop=239MPa
  [ 324] viol   f=   1.556  a=40.7 b=74.9 gap=19.6 (face=15.1mm) n=[592, 605, 190, 898, 887, 195]  tape=1.472km B=12.25T unif=1.020% hoop=298MPa
  [ 325] OK     f=   1.490  a=41.6 b=71.2 gap=19.6 (face=15.1mm) n=[607, 705, 118, 900, 617, 489]  tape=1.490km B=12.79T unif=0.990% hoop=290MPa
  [ 326] viol   f=   4.234  a=47.1 b=77.6 gap=18.2 (face=12.4mm) n=[394, 711, 146, 770, 715, 149]  tape=1.303km B=10.80T unif=1.121% hoop=263MPa
  [ 327] viol   f=  72.212  a=38.2 b=52.8 gap=25.6 (face=27.2mm) n=[502, 869, 91, 898, 471, 193]  tape=1.052km B=11.09T unif=1.596% hoop=203MPa
  [ 328] OK     f=   1.313  a=43.2 b=64.8 gap=21.3 (face=18.6mm) n=[488, 528, 173, 860, 840, 342]  tape=1.313km B=11.54T unif=0.482% hoop=294MPa
  [ 329] OK     f=   1.255  a=47.7 b=68.8 gap=24.1 (face=24.3mm) n=[544, 654, 191, 819, 657, 73]  tape=1.255km B=10.23T unif=0.720% hoop=263MPa
  [ 330] OK     f=   1.467  a=49.0 b=74.2 gap=19.6 (face=15.3mm) n=[466, 563, 434, 746, 828, 172]  tape=1.467km B=11.23T unif=0.959% hoop=336MPa
  [ 331] OK     f=   1.328  a=38.8 b=76.1 gap=22.8 (face=21.6mm) n=[575, 483, 126, 841, 604, 317]  tape=1.328km B=10.09T unif=0.777% hoop=241MPa
  [ 332] OK     f=   1.177  a=47.9 b=67.0 gap=20.3 (face=16.6mm) n=[537, 583, 75, 781, 701, 158]  tape=1.177km B=10.49T unif=0.975% hoop=288MPa
  [ 333] OK     f=   1.149  a=41.8 b=59.6 gap=24.6 (face=25.2mm) n=[597, 714, 302, 562, 594, 334]  tape=1.149km B=11.65T unif=0.512% hoop=235MPa
  [ 334] OK     f=   1.394  a=49.6 b=70.0 gap=23.9 (face=23.8mm) n=[592, 556, 55, 896, 862, 226]  tape=1.394km B=10.46T unif=0.449% hoop=295MPa
  [ 335] OK     f=   1.236  a=44.0 b=64.7 gap=20.2 (face=16.3mm) n=[588, 453, 123, 883, 655, 236]  tape=1.236km B=10.61T unif=0.827% hoop=272MPa
  [ 336] OK     f=   1.363  a=42.5 b=65.5 gap=21.8 (face=19.7mm) n=[472, 581, 143, 891, 671, 496]  tape=1.363km B=11.31T unif=0.708% hoop=285MPa
  [ 337] OK     f=   0.792  a=41.8 b=48.7 gap=22.6 (face=21.3mm) n=[346, 637, 233, 667, 510, 55]  tape=0.792km B=10.18T unif=0.493% hoop=207MPa
  [ 338] OK     f=   1.343  a=48.8 b=71.9 gap=21.0 (face=18.1mm) n=[481, 465, 201, 815, 681, 313]  tape=1.343km B=10.06T unif=0.822% hoop=356MPa
  [ 339] OK     f=   1.244  a=43.0 b=68.9 gap=18.4 (face=12.9mm) n=[362, 457, 77, 872, 735, 370]  tape=1.244km B=10.38T unif=0.968% hoop=272MPa
  [ 340] OK     f=   1.205  a=43.8 b=59.0 gap=17.7 (face=11.5mm) n=[352, 530, 68, 896, 745, 466]  tape=1.205km B=11.65T unif=0.448% hoop=278MPa
  [ 341] OK     f=   1.359  a=49.0 b=62.9 gap=27.7 (face=31.4mm) n=[371, 898, 428, 608, 665, 206]  tape=1.359km B=10.30T unif=0.109% hoop=294MPa
  [ 342] OK     f=   0.852  a=44.8 b=52.0 gap=20.8 (face=17.6mm) n=[461, 681, 76, 682, 555, 85]  tape=0.852km B=10.88T unif=0.516% hoop=220MPa
  [ 343] OK     f=   1.036  a=44.7 b=53.0 gap=22.4 (face=20.7mm) n=[399, 766, 276, 588, 555, 241]  tape=1.036km B=10.72T unif=0.121% hoop=234MPa
  [ 344] viol   f=   2.085  a=47.6 b=65.8 gap=21.1 (face=18.2mm) n=[453, 663, 147, 739, 644, 130]  tape=1.128km B=10.47T unif=1.069% hoop=257MPa
  [ 345] viol   f=   0.980  a=41.1 b=55.7 gap=19.8 (face=15.7mm) n=[514, 637, 192, 695, 530, 139]  tape=0.950km B=11.53T unif=1.012% hoop=233MPa
  [ 346] INFEAS f=1953.811  a=43.6 b=43.7 gap=20.4 (face=16.8mm) n=[622, 576, 236, 698, 582, 96]  no evaluation (geometry pre-check)
  [ 347] OK     f=   1.225  a=44.7 b=57.8 gap=27.2 (face=30.3mm) n=[555, 593, 218, 598, 859, 295]  tape=1.225km B=10.09T unif=0.068% hoop=260MPa
  [ 348] viol   f=   3.657  a=45.8 b=62.4 gap=23.2 (face=22.5mm) n=[366, 733, 74, 527, 593, 53]  tape=0.927km B=8.83T unif=0.805% hoop=213MPa
  [ 349] INFEAS f=2772.379  a=38.1 b=36.4 gap=25.4 (face=26.8mm) n=[643, 593, 198, 551, 688, 532]  no evaluation (geometry pre-check)
  [ 350] viol   f= 523.715  a=43.6 b=51.1 gap=28.3 (face=32.5mm) n=[251, 752, 94, 739, 588, 229]  tape=0.904km B=8.91T unif=2.613% hoop=170MPa
  [ 351] viol   f=   2.412  a=47.7 b=54.6 gap=25.7 (face=27.5mm) n=[449, 761, 175, 613, 379, 94]  tape=0.936km B=9.14T unif=0.214% hoop=228MPa
  [ 352] OK     f=   1.022  a=37.0 b=51.6 gap=19.4 (face=14.8mm) n=[456, 539, 422, 750, 512, 311]  tape=1.022km B=12.53T unif=0.890% hoop=263MPa
  [ 353] viol   f=   1.176  a=45.6 b=65.8 gap=19.9 (face=15.8mm) n=[315, 660, 210, 890, 577, 77]  tape=1.171km B=9.95T unif=0.907% hoop=240MPa
  [ 354] viol   f=   1.048  a=42.7 b=58.0 gap=22.3 (face=20.6mm) n=[432, 565, 77, 792, 612, 183]  tape=1.009km B=9.86T unif=0.396% hoop=235MPa
  [ 355] viol   f=   1.190  a=42.5 b=55.0 gap=20.2 (face=16.4mm) n=[427, 699, 200, 567, 572, 101]  tape=0.914km B=10.79T unif=1.037% hoop=239MPa
  [ 356] OK     f=   0.988  a=40.8 b=56.3 gap=21.2 (face=18.4mm) n=[530, 823, 99, 709, 417, 113]  tape=0.988km B=11.08T unif=0.630% hoop=225MPa
  [ 357] viol   f=  46.167  a=47.9 b=62.9 gap=18.9 (face=13.8mm) n=[538, 786, 150, 608, 624, 60]  tape=1.112km B=11.15T unif=1.475% hoop=277MPa
  [ 358] INFEAS f=3508.654  a=40.1 b=37.2 gap=28.5 (face=33.0mm) n=[367, 770, 218, 294, 560, 192]  no evaluation (geometry pre-check)
  [ 359] OK     f=   1.168  a=41.3 b=64.5 gap=25.7 (face=27.3mm) n=[537, 632, 86, 801, 475, 365]  tape=1.168km B=10.05T unif=0.611% hoop=230MPa
  [ 360] OK     f=   1.040  a=41.4 b=55.5 gap=21.9 (face=19.9mm) n=[447, 590, 398, 768, 644, 55]  tape=1.040km B=11.34T unif=0.416% hoop=259MPa
  [ 361] viol   f=   4.920  a=44.3 b=62.7 gap=23.0 (face=22.0mm) n=[682, 540, 198, 763, 449, 51]  tape=1.053km B=10.40T unif=1.139% hoop=236MPa
  [ 362] INFEAS f=2135.288  a=40.7 b=40.4 gap=17.8 (face=11.5mm) n=[470, 618, 340, 567, 502, 132]  no evaluation (geometry pre-check)
  [ 363] OK     f=   1.232  a=41.7 b=64.0 gap=22.9 (face=21.7mm) n=[526, 671, 390, 772, 486, 250]  tape=1.232km B=11.66T unif=0.878% hoop=274MPa
  [ 364] OK     f=   0.936  a=36.3 b=51.1 gap=17.3 (face=10.5mm) n=[448, 433, 323, 745, 539, 249]  tape=0.936km B=11.75T unif=0.857% hoop=280MPa
  [ 365] OK     f=   1.202  a=44.0 b=59.6 gap=27.1 (face=30.1mm) n=[689, 821, 183, 683, 683, 143]  tape=1.202km B=11.49T unif=0.334% hoop=224MPa
  [ 366] viol   f=   2.154  a=37.8 b=48.8 gap=23.8 (face=23.6mm) n=[407, 656, 306, 900, 710, 287]  tape=1.120km B=11.73T unif=1.072% hoop=226MPa
  [ 367] INFEAS f=1001.567  a=40.8 b=45.6 gap=22.3 (face=20.6mm) n=[433, 662, 65, 775, 463, 85]  no evaluation (geometry pre-check)
  [ 368] viol   f=  22.201  a=40.1 b=58.9 gap=21.3 (face=18.6mm) n=[548, 480, 140, 574, 481, 195]  tape=0.848km B=10.22T unif=1.327% hoop=206MPa
  [ 369] OK     f=   0.842  a=35.0 b=48.7 gap=20.9 (face=17.9mm) n=[396, 731, 172, 816, 428, 53]  tape=0.842km B=11.08T unif=0.716% hoop=191MPa
  [ 370] OK     f=   1.408  a=43.5 b=71.1 gap=18.0 (face=12.0mm) n=[629, 517, 60, 890, 873, 327]  tape=1.408km B=12.39T unif=0.973% hoop=288MPa
  [ 371] OK     f=   0.909  a=37.9 b=52.4 gap=21.7 (face=19.4mm) n=[575, 516, 261, 655, 524, 230]  tape=0.909km B=11.72T unif=0.940% hoop=212MPa
  [ 372] OK     f=   1.107  a=36.6 b=62.2 gap=19.5 (face=15.1mm) n=[414, 499, 174, 877, 580, 209]  tape=1.107km B=10.17T unif=0.988% hoop=253MPa
  [ 373] INFEAS f=1106.345  a=40.7 b=44.0 gap=25.2 (face=26.3mm) n=[641, 899, 405, 526, 348, 188]  no evaluation (geometry pre-check)
  [ 374] OK     f=   1.074  a=39.0 b=57.7 gap=20.3 (face=16.6mm) n=[532, 894, 97, 693, 480, 136]  tape=1.074km B=11.73T unif=0.904% hoop=237MPa
  [ 375] OK     f=   1.187  a=41.1 b=55.8 gap=20.8 (face=17.5mm) n=[571, 830, 120, 863, 607, 301]  tape=1.187km B=13.47T unif=0.724% hoop=252MPa
  [ 376] viol   f=  10.156  a=34.6 b=50.3 gap=18.7 (face=13.4mm) n=[551, 547, 216, 761, 512, 109]  tape=0.884km B=12.03T unif=1.215% hoop=217MPa
  [ 377] OK     f=   0.893  a=38.7 b=48.4 gap=20.8 (face=17.5mm) n=[497, 798, 168, 681, 453, 102]  tape=0.893km B=11.73T unif=0.840% hoop=215MPa
  [ 378] OK     f=   1.047  a=39.2 b=56.8 gap=20.8 (face=17.5mm) n=[428, 697, 229, 866, 476, 88]  tape=1.047km B=10.92T unif=0.617% hoop=231MPa
  [ 379] OK     f=   0.874  a=37.1 b=45.5 gap=20.5 (face=17.0mm) n=[407, 746, 525, 636, 393, 101]  tape=0.874km B=12.84T unif=0.856% hoop=226MPa
  [ 380] OK     f=   1.041  a=32.7 b=55.2 gap=22.0 (face=19.9mm) n=[593, 496, 319, 788, 543, 246]  tape=1.041km B=11.83T unif=0.934% hoop=215MPa
  [ 381] viol   f=  87.910  a=40.7 b=47.9 gap=24.8 (face=25.6mm) n=[450, 721, 684, 521, 310, 112]  tape=0.901km B=11.59T unif=1.660% hoop=221MPa
  [ 382] viol   f= 211.412  a=34.9 b=46.3 gap=25.3 (face=26.5mm) n=[473, 698, 440, 659, 560, 174]  tape=0.894km B=11.93T unif=2.026% hoop=205MPa
  [ 383] INFEAS f=1935.632  a=42.8 b=43.0 gap=25.4 (face=26.9mm) n=[527, 816, 387, 577, 552, 238]  no evaluation (geometry pre-check)
  [ 384] OK     f=   0.962  a=37.3 b=52.3 gap=23.2 (face=22.5mm) n=[616, 555, 58, 810, 557, 211]  tape=0.962km B=10.97T unif=0.434% hoop=207MPa
  [ 385] viol   f=   2.531  a=37.3 b=45.6 gap=23.2 (face=22.4mm) n=[660, 617, 546, 663, 382, 250]  tape=0.906km B=13.76T unif=1.090% hoop=208MPa
  [ 386] INFEAS f=1067.578  a=32.5 b=43.0 gap=25.4 (face=26.9mm) n=[571, 807, 570, 437, 195, 234]  no evaluation (geometry pre-check)
  [ 387] INFEAS f=1732.011  a=37.3 b=38.0 gap=18.9 (face=13.9mm) n=[311, 760, 307, 638, 484, 107]  no evaluation (geometry pre-check)
  [ 388] viol   f=   9.721  a=39.0 b=72.4 gap=21.5 (face=19.0mm) n=[376, 776, 77, 900, 445, 129]  tape=1.179km B=9.85T unif=1.206% hoop=215MPa
  [ 389] INFEAS f=2043.981  a=31.7 b=41.4 gap=27.4 (face=30.8mm) n=[527, 848, 218, 846, 446, 169]  no evaluation (geometry pre-check)
  [ 390] viol   f=   3.938  a=40.0 b=49.1 gap=21.4 (face=18.9mm) n=[696, 795, 323, 589, 274, 144]  tape=0.947km B=12.83T unif=1.122% hoop=217MPa
  [ 391] viol   f= 330.193  a=38.3 b=46.5 gap=25.1 (face=26.1mm) n=[540, 762, 240, 708, 400, 78]  tape=0.860km B=10.97T unif=2.283% hoop=192MPa
  [ 392] INFEAS f=1735.749  a=31.0 b=50.5 gap=25.0 (face=25.9mm) n=[601, 814, 323, 714, 386, 55]  no evaluation (geometry pre-check)
  [ 393] OK     f=   1.053  a=36.9 b=56.3 gap=25.1 (face=26.1mm) n=[631, 587, 153, 819, 544, 190]  tape=1.053km B=10.72T unif=0.416% hoop=196MPa
  [ 394] OK     f=   0.999  a=40.6 b=52.1 gap=22.7 (face=21.4mm) n=[668, 531, 102, 763, 680, 232]  tape=0.999km B=12.00T unif=0.462% hoop=224MPa
  [ 395] INFEAS f=1407.513  a=32.1 b=41.9 gap=22.9 (face=21.8mm) n=[493, 743, 207, 826, 393, 107]  no evaluation (geometry pre-check)
  [ 396] OK     f=   0.938  a=39.9 b=48.3 gap=23.0 (face=22.0mm) n=[676, 616, 270, 728, 489, 158]  tape=0.938km B=12.64T unif=0.265% hoop=213MPa
  [ 397] viol   f=  12.109  a=41.5 b=59.9 gap=22.7 (face=21.4mm) n=[707, 736, 109, 721, 367, 91]  tape=0.983km B=11.64T unif=1.236% hoop=194MPa
  [ 398] viol   f=2129.977  a=33.5 b=44.2 gap=25.4 (face=26.9mm) n=[765, 704, 449, 760, 434, 208]  tape=0.946km B=13.30T unif=4.263% hoop=193MPa
  [ 399] INFEAS f=6238.677  a=26.0 b=32.5 gap=24.2 (face=24.4mm) n=[548, 797, 464, 708, 243, 155]  no evaluation (geometry pre-check)
  [ 400] OK     f=   0.923  a=37.1 b=51.9 gap=17.2 (face=10.4mm) n=[560, 380, 103, 752, 532, 369]  tape=0.923km B=11.58T unif=0.925% hoop=232MPa
  [ 401] OK     f=   0.884  a=39.2 b=52.2 gap=20.0 (face=16.1mm) n=[707, 314, 132, 749, 602, 129]  tape=0.884km B=11.36T unif=0.561% hoop=198MPa
  [ 402] INFEAS f=1011.165  a=45.9 b=50.4 gap=20.0 (face=16.1mm) n=[543, 563, 244, 700, 505, 142]  no evaluation (geometry pre-check)
  [ 403] OK     f=   1.081  a=44.2 b=57.0 gap=19.5 (face=15.0mm) n=[528, 560, 92, 869, 577, 155]  tape=1.081km B=10.71T unif=0.666% hoop=284MPa
  [ 404] OK     f=   0.962  a=35.3 b=51.9 gap=20.0 (face=16.0mm) n=[557, 694, 247, 789, 514, 99]  tape=0.962km B=12.70T unif=0.876% hoop=217MPa
  [ 405] INFEAS f=1000.748  a=34.8 b=39.7 gap=20.3 (face=16.6mm) n=[651, 575, 73, 579, 401, 87]  no evaluation (geometry pre-check)
  [ 406] OK     f=   0.878  a=39.6 b=52.3 gap=19.3 (face=14.7mm) n=[499, 521, 139, 667, 552, 237]  tape=0.878km B=11.23T unif=0.967% hoop=232MPa
  [ 407] viol   f=   2.174  a=42.1 b=63.0 gap=18.0 (face=11.9mm) n=[633, 310, 92, 880, 525, 301]  tape=1.135km B=10.44T unif=1.072% hoop=241MPa
  [ 408] OK     f=   1.277  a=40.8 b=58.9 gap=19.8 (face=15.5mm) n=[586, 686, 262, 900, 540, 289]  tape=1.277km B=12.68T unif=0.941% hoop=277MPa
  [ 409] OK     f=   0.873  a=36.3 b=44.6 gap=22.2 (face=20.4mm) n=[711, 542, 173, 850, 463, 56]  tape=0.873km B=11.58T unif=0.356% hoop=178MPa  [a=27 b=39 nt=1730] KSP converged reason: 4, iterations: 1
  [a=39 b=55 nt=2359] KSP converged reason: 4, iterations: 1
  [a=56 b=80 nt=3338] KSP converged reason: 4, iterations: 1
  [a=38 b=74 nt=2589] KSP converged reason: 4, iterations: 1
  [a=33 b=80 nt=3072] KSP converged reason: 4, iterations: 1
  [a=55 b=66 nt=1893] KSP converged reason: 4, iterations: 1
  [a=55 b=65 nt=3633] KSP converged reason: 4, iterations: 1
  [a=62 b=76 nt=3100] KSP converged reason: 4, iterations: 1
  [a=68 b=77 nt=3441] KSP converged reason: 4, iterations: 1
  [a=59 b=80 nt=2462] KSP converged reason: 4, iterations: 1
  [a=51 b=57 nt=4311] KSP converged reason: 4, iterations: 1
  [a=48 b=69 nt=3654] KSP converged reason: 4, iterations: 1
  [a=51 b=68 nt=3341] KSP converged reason: 4, iterations: 1
  [a=42 b=59 nt=2814] KSP converged reason: 4, iterations: 1
  [a=80 b=115 nt=3660] KSP converged reason: 4, iterations: 1
  [a=44 b=71 nt=3417] KSP converged reason: 4, iterations: 1
  [a=65 b=91 nt=3693] KSP converged reason: 4, iterations: 1
  [a=68 b=100 nt=3591] KSP converged reason: 4, iterations: 1
  [a=38 b=76 nt=3540] KSP converged reason: 4, iterations: 1
  [a=44 b=80 nt=3268] KSP converged reason: 4, iterations: 1
  [a=40 b=63 nt=2949] KSP converged reason: 4, iterations: 1
  [a=44 b=73 nt=3405] KSP converged reason: 4, iterations: 1
  [a=48 b=101 nt=3436] KSP converged reason: 4, iterations: 1
  [a=45 b=84 nt=3159] KSP converged reason: 4, iterations: 1
  [a=42 b=89 nt=2993] KSP converged reason: 4, iterations: 1
  [a=45 b=83 nt=3543] KSP converged reason: 4, iterations: 1
  [a=44 b=82 nt=3868] KSP converged reason: 4, iterations: 1
  [a=50 b=95 nt=2945] KSP converged reason: 4, iterations: 1
  [a=44 b=80 nt=2667] KSP converged reason: 4, iterations: 1
  [a=60 b=80 nt=3423] KSP converged reason: 4, iterations: 1
  [a=45 b=86 nt=3091] KSP converged reason: 4, iterations: 1
  [a=45 b=88 nt=3639] KSP converged reason: 4, iterations: 1
  [a=46 b=90 nt=2333] KSP converged reason: 4, iterations: 1
  [a=43 b=78 nt=3018] KSP converged reason: 4, iterations: 1
  [a=45 b=87 nt=3145] KSP converged reason: 4, iterations: 1
  [a=47 b=66 nt=2686] KSP converged reason: 4, iterations: 1
  [a=44 b=61 nt=2936] KSP converged reason: 4, iterations: 1
  [a=48 b=69 nt=2938] KSP converged reason: 4, iterations: 1
  [a=50 b=70 nt=3187] KSP converged reason: 4, iterations: 1
  [a=44 b=59 nt=3057] KSP converged reason: 4, iterations: 1
  [a=45 b=58 nt=3118] KSP converged reason: 4, iterations: 1
  [a=37 b=52 nt=2990] KSP converged reason: 4, iterations: 1
  [a=42 b=64 nt=3095] KSP converged reason: 4, iterations: 1
  [a=39 b=58 nt=2832] KSP converged reason: 4, iterations: 1
  [a=33 b=55 nt=2985] KSP converged reason: 4, iterations: 1
  [a=40 b=49 nt=2821] KSP converged reason: 4, iterations: 1
  [a=41 b=60 nt=2731] KSP converged reason: 4, iterations: 1
  [a=44 b=57 nt=2781] KSP converged reason: 4, iterations: 1
  [a=22 b=33 nt=1296] KSP converged reason: 4, iterations: 1
  [a=35 b=59 nt=2677] KSP converged reason: 4, iterations: 1
  [a=51 b=79 nt=2519] KSP converged reason: 4, iterations: 1
  [a=60 b=77 nt=3637] KSP converged reason: 4, iterations: 1
  [a=39 b=55 nt=2722] KSP converged reason: 4, iterations: 1
  [a=41 b=51 nt=2880] KSP converged reason: 4, iterations: 1
  [a=44 b=60 nt=3323] KSP converged reason: 4, iterations: 1
  [a=78 b=90 nt=3805] KSP converged reason: 4, iterations: 1
  [a=56 b=92 nt=4376] KSP converged reason: 4, iterations: 1
  [a=59 b=78 nt=3579] KSP converged reason: 4, iterations: 1
  [a=60 b=76 nt=2518] KSP converged reason: 4, iterations: 1
  [a=53 b=120 nt=3752] KSP converged reason: 4, iterations: 1
  [a=74 b=91 nt=3573] KSP converged reason: 4, iterations: 1
  [a=61 b=72 nt=3387] KSP converged reason: 4, iterations: 1
  [a=78 b=91 nt=2804] KSP converged reason: 4, iterations: 1
  [a=45 b=95 nt=3275] KSP converged reason: 4, iterations: 1
  [a=55 b=107 nt=3317] KSP converged reason: 4, iterations: 1
  [a=61 b=107 nt=2506] KSP converged reason: 4, iterations: 1
  [a=73 b=121 nt=3165] KSP converged reason: 4, iterations: 1
  [a=44 b=92 nt=3270] KSP converged reason: 4, iterations: 1
  [a=39 b=58 nt=3775] KSP converged reason: 4, iterations: 1
  [a=46 b=71 nt=3992] KSP converged reason: 4, iterations: 1
  [a=45 b=78 nt=3809] KSP converged reason: 4, iterations: 1
  [a=44 b=76 nt=3647] KSP converged reason: 4, iterations: 1
  [a=63 b=109 nt=3067] KSP converged reason: 4, iterations: 1
  [a=61 b=100 nt=2767] KSP converged reason: 4, iterations: 1
  [a=55 b=82 nt=3457] KSP converged reason: 4, iterations: 1
  [a=52 b=83 nt=3129] KSP converged reason: 4, iterations: 1
  [a=44 b=86 nt=2981] KSP converged reason: 4, iterations: 1
  [a=47 b=94 nt=2720] KSP converged reason: 4, iterations: 1
  [a=43 b=78 nt=2977] KSP converged reason: 4, iterations: 1
  [a=42 b=71 nt=2491] KSP converged reason: 4, iterations: 1
  [a=49 b=84 nt=3325] KSP converged reason: 4, iterations: 1
  [a=50 b=79 nt=2861] KSP converged reason: 4, iterations: 1
  [a=38 b=71 nt=2951] KSP converged reason: 4, iterations: 1
  [a=46 b=75 nt=3183] KSP converged reason: 4, iterations: 1
  [a=40 b=62 nt=3046] KSP converged reason: 4, iterations: 1
  [a=38 b=53 nt=3024] KSP converged reason: 4, iterations: 1
  [a=42 b=60 nt=3103] KSP converged reason: 4, iterations: 1
  [a=45 b=52 nt=2540] KSP converged reason: 4, iterations: 1
  [a=46 b=62 nt=2346] KSP converged reason: 4, iterations: 1
  [a=43 b=55 nt=2566] KSP converged reason: 4, iterations: 1
  [a=44 b=63 nt=2683] KSP converged reason: 4, iterations: 1
  [a=37 b=62 nt=2753] KSP converged reason: 4, iterations: 1
  [a=39 b=57 nt=2784] KSP converged reason: 4, iterations: 1
  [a=37 b=46 nt=3118] KSP converged reason: 4, iterations: 1
  [a=33 b=44 nt=3320] KSP converged reason: 4, iterations: 1
  [a=40 b=52 nt=2615] KSP converged reason: 4, iterations: 1
  [a=33 b=42 nt=1647] KSP converged reason: 4, iterations: 1
  [a=27 b=41 nt=1516] KSP converged reason: 4, iterations: 1
  [a=50 b=67 nt=2283] KSP converged reason: 4, iterations: 1
  [a=38 b=53 nt=2513] KSP converged reason: 4, iterations: 1
  [a=56 b=68 nt=3415] KSP converged reason: 4, iterations: 1
  [a=35 b=64 nt=2920] KSP converged reason: 4, iterations: 1
  [a=47 b=73 nt=2310] KSP converged reason: 4, iterations: 1
  [a=49 b=93 nt=2674] KSP converged reason: 4, iterations: 1
  [a=36 b=59 nt=2767] KSP converged reason: 4, iterations: 1
  [a=57 b=106 nt=4063] KSP converged reason: 4, iterations: 1
  [a=59 b=70 nt=3956] KSP converged reason: 4, iterations: 1
  [a=77 b=91 nt=2946] KSP converged reason: 4, iterations: 1
  [a=40 b=74 nt=3443] KSP converged reason: 4, iterations: 1
  [a=34 b=64 nt=3164] KSP converged reason: 4, iterations: 1
  [a=38 b=56 nt=3310] KSP converged reason: 4, iterations: 1
  [a=36 b=47 nt=2655] KSP converged reason: 4, iterations: 1
  [a=78 b=109 nt=2998] KSP converged reason: 4, iterations: 1
  [a=68 b=98 nt=2948] KSP converged reason: 4, iterations: 1
  [a=68 b=100 nt=2775] KSP converged reason: 4, iterations: 1
  [a=63 b=73 nt=4130] KSP converged reason: 4, iterations: 1
  [a=49 b=72 nt=3408] KSP converged reason: 4, iterations: 1
  [a=32 b=85 nt=2422] KSP converged reason: 4, iterations: 1
  [a=45 b=90 nt=2665] KSP converged reason: 4, iterations: 1
  [a=50 b=62 nt=2556] KSP converged reason: 4, iterations: 1
  [a=42 b=95 nt=3154] KSP converged reason: 4, iterations: 1
  [a=38 b=91 nt=2753] KSP converged reason: 4, iterations: 1
  [a=36 b=66 nt=3062] KSP converged reason: 4, iterations: 1
  [a=51 b=100 nt=3592] KSP converged reason: 4, iterations: 1
