Starting CMA-ES: 9 variables, budget 400 evaluations, target B >= 10.0 T, uniformity <= 1.0%, hoop <= 400 MPa, coil-coil face gap >= 3 mm

Parallel mode: 6 worker processes per generation.
  [  49] INFEAS f=6597.221  a=20.6 b=34.4 gap=16.4 (face=8.8mm) n=[402, 286, 659, 235, 462, 102]  no evaluation (geometry pre-check)
  [  50] INFEAS f=1030.304  a=26.2 b=36.9 gap=13.5 (face=3.0mm) n=[124, 111, 378, 106, 335, 632]  no evaluation (geometry pre-check)
  [  51] INFEAS f=1476.571  a=18.4 b=47.2 gap=13.9 (face=3.8mm) n=[78, 52, 318, 179, 467, 125]  no evaluation (geometry pre-check)
  [  52] INFEAS f=5143.089  a=26.2 b=66.2 gap=17.2 (face=10.4mm) n=[484, 418, 637, 234, 599, 781]  no evaluation (geometry pre-check)
  [  53] viol   f= 208.043  a=49.8 b=66.8 gap=13.8 (face=3.5mm) n=[78, 441, 795, 435, 288, 246]  tape=1.023km B=8.88T unif=2.011% hoop=301MPa
  [  54] viol   f= 139.795  a=18.9 b=32.0 gap=13.9 (face=3.9mm) n=[123, 396, 157, 416, 309, 301]  tape=0.327km B=10.95T unif=1.835% hoop=94MPa
  [  55] INFEAS f=1223.504  a=34.3 b=37.0 gap=17.7 (face=11.4mm) n=[165, 814, 752, 86, 122, 479]  no evaluation (geometry pre-check)
  [  56] INFEAS f=11725.805  a=28.0 b=19.4 gap=19.6 (face=15.1mm) n=[379, 276, 427, 515, 378, 812]  no evaluation (geometry pre-check)
  [  57] viol   f=   3.800  a=38.8 b=55.4 gap=26.2 (face=28.3mm) n=[201, 623, 621, 258, 447, 209]  tape=0.813km B=8.78T unif=0.374% hoop=180MPa
  [  58] viol   f=  30.672  a=34.5 b=58.8 gap=14.5 (face=5.1mm) n=[264, 263, 744, 579, 172, 655]  tape=0.960km B=12.02T unif=1.385% hoop=274MPa
  [  59] INFEAS f=2462.453  a=52.2 b=51.1 gap=13.6 (face=3.3mm) n=[61, 589, 624, 458, 64, 155]  no evaluation (geometry pre-check)
  [  60] INFEAS f=1356.449  a=31.6 b=36.2 gap=17.7 (face=11.3mm) n=[207, 475, 810, 222, 51, 115]  no evaluation (geometry pre-check)
  [  61] viol   f=  83.450  a=33.9 b=40.1 gap=23.0 (face=21.9mm) n=[89, 421, 340, 67, 229, 161]  tape=0.350km B=6.01T unif=1.507% hoop=123MPa
  [  62] INFEAS f=9458.937  a=45.6 b=36.1 gap=17.0 (face=10.0mm) n=[423, 875, 666, 307, 479, 702]  no evaluation (geometry pre-check)
  [  63] viol   f=3772.056  a=37.6 b=47.5 gap=13.6 (face=3.2mm) n=[840, 777, 217, 149, 101, 98]  tape=0.704km B=13.58T unif=5.342% hoop=187MPa
  [  64] viol   f=   5.184  a=34.5 b=62.4 gap=14.9 (face=5.8mm) n=[627, 793, 108, 469, 509, 742]  tape=1.187km B=14.79T unif=1.141% hoop=248MPa
  [  65] viol   f=   8.513  a=51.3 b=78.7 gap=19.8 (face=15.7mm) n=[180, 655, 899, 249, 230, 306]  tape=1.273km B=8.56T unif=1.125% hoop=305MPa
